mssv,ho_ten,khoa,nam_hoc,tinh_tp,so_tin_chi,gpa,gio_tu_hoc,ngay_nhap_hoc
2200510,Nguyễn Gia Yến,Kỹ thuật Công nghệ,3,Hà Nội,22,2.61,,2022-09-18
2200511,Trần Quốc Khanh,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,22,3.34,6.6,2022-09-20
2200512,Huỳnh Quốc Tuấn,Kinh tế,1,Cần Thơ,16,2.38,8.9,2022-09-22
2200513,Phạm Ngọc Trang,Ngôn ngữ,3,Lâm Đồng,24,2.39,12.6,2022-09-19
2200514,Phan Hữu Yến,Du lịch,3,Hà Nội,20,2.72,8.4,2022-09-21
2200515,Trần Thị Thảo,Kinh tế,1,TP. Hồ Chí Minh,21,2.28,6.1,2022-09-19
2200516,Lê Thị Sơn,Ngôn ngữ,3,TP. Hồ Chí Minh,17,2.22,5.5,2022-09-06
2200517,Vũ Thanh Yến,Kinh tế,1,Đồng Nai,16,,12.3,2022-09-16
2200518,Đặng Văn Hà,Kỹ thuật Công nghệ,4,Đồng Nai,12,2.65,3.6,2022-09-23
2200519,Bùi Quốc An,Kinh tế,1,Hà Nội,24,2.54,7.3,2022-09-24
2200520,Phan Ngọc Giang,Kinh tế,4,Khánh Hòa,24,2.06,7.8,2022-09-20
2200521,Huỳnh Thị Dũng,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,24,3.41,7.5,2022-09-13
2200522,Bùi Ngọc Chi,Kỹ thuật Công nghệ,3,Đà Nẵng,20,2.27,14.7,2022-09-09
2200523,Lê Thanh Chi,Kinh tế,1,TP. Hồ Chí Minh,14,,6.8,2022-09-07
2200524,Vũ Gia Quân,Kinh tế,2,Hà Nội,17,2.77,8.6,2022-09-11
2200525,Trần Minh Linh,Luật,2,Lâm Đồng,22,2.22,5.3,2022-09-16
2200526,Nguyễn Gia Vy,Kinh tế,2,TP. Hồ Chí Minh,23,2.61,10.9,2022-09-05
2200527,Vũ Thị Linh,Ngôn ngữ,4,TP. Hồ Chí Minh,15,2.29,12.2,2022-09-19
2200528,Vũ Ngọc Khanh,Kinh tế,3,TP. Hồ Chí Minh,18,3.35,6.6,2022-09-25
2200529,Vũ Quốc An,Kỹ thuật Công nghệ,2,Cần Thơ,16,2.64,9.2,2022-09-25
2200530,Hoàng Thanh Nam,Kinh tế,4,TP. Hồ Chí Minh,12,2.51,5.1,2022-09-25
2200531,Nguyễn Minh Linh,Ngôn ngữ,3,Lâm Đồng,23,3.15,6.7,2022-09-16
2200532,Vũ Quốc Oanh,Luật,3,Cần Thơ,22,1.91,14.7,2022-09-21
2200533,Nguyễn Quốc Vy,Kinh tế,3,TP. Hồ Chí Minh,23,2.3,,2022-09-17
2200534,Đặng Thanh Hùng,Luật,1,TP. Hồ Chí Minh,18,2.31,16.3,2022-09-19
2200535,Hoàng Quốc An,Luật,3,TP. Hồ Chí Minh,19,3.17,,2022-09-11
2200536,Nguyễn Hữu Linh,Ngôn ngữ,1,Đà Nẵng,19,2.64,2.9,2022-09-25
2200537,Vũ Hữu Trang,Kinh tế,1,Hà Nội,23,2.69,6.5,2022-09-09
2200538,Phạm Văn Yến,Kinh tế,3,TP. Hồ Chí Minh,22,2.43,4.5,2022-09-15
2200539,Vũ Thị Nam,Ngôn ngữ,2,Khánh Hòa,13,2.6,15.3,2022-09-15
2200540,Nguyễn Gia Vy,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,23,1.77,7.5,2022-09-19
2200541,Bùi Thanh Oanh,Ngôn ngữ,4,Khánh Hòa,21,2.35,8.8,2022-09-25
2200542,Phạm Văn Vy,Kỹ thuật Công nghệ,3,Cần Thơ,15,2.84,13.0,2022-09-11
2200543,Vũ Thị Mai,Kỹ thuật Công nghệ,3,Khánh Hòa,21,2.7,7.0,2022-09-24
2200544,Bùi Minh Tuấn,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,18,2.18,4.3,2022-09-21
2200545,Bùi Gia Quân,Kinh tế,1,TP. Hồ Chí Minh,14,2.13,6.7,2022-09-16
2200546,Lê Thị Sơn,Ngôn ngữ,1,Bình Dương,15,,6.0,2022-09-15
2200547,Nguyễn Quốc Mai,Luật,2,Đà Nẵng,23,3.2,11.7,2022-09-20
2200548,Hoàng Quốc Trang,Kỹ thuật Công nghệ,1,Bình Dương,22,2.09,10.2,2022-09-10
2200549,Vũ Thị Linh,Du lịch,2,TP. Hồ Chí Minh,19,2.82,8.3,2022-09-25
2200550,Vũ Thị Vy,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,2.71,12.7,2022-09-13
2200551,Vũ Thanh An,Luật,2,Bình Dương,14,2.57,2.8,2022-09-07
2200552,Vũ Thị Nam,Kỹ thuật Công nghệ,4,Đà Nẵng,13,,7.9,2022-09-08
2200553,Vũ Thị Thảo,Kinh tế,4,TP. Hồ Chí Minh,19,2.8,13.0,2022-09-09
2200554,Trần Quốc Thảo,Du lịch,3,Đà Nẵng,23,3.46,7.1,2022-09-13
2200555,Nguyễn Ngọc Tuấn,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,18,2.0,6.1,2022-09-14
2200556,Trần Văn Dũng,Kỹ thuật Công nghệ,1,Cần Thơ,14,3.13,4.3,2022-09-05
2200557,Hoàng Thanh Mai,Kinh tế,2,TP. Hồ Chí Minh,24,2.5,,2022-09-23
2200558,Nguyễn Hữu Chi,Kỹ thuật Công nghệ,1,Đà Nẵng,21,2.2,,2022-09-20
2200559,Trần Minh An,Ngôn ngữ,1,TP. Hồ Chí Minh,23,3.35,0.0,2022-09-06
2200560,Nguyễn Quốc Dũng,Kinh tế,2,TP. Hồ Chí Minh,20,,15.0,2022-09-24
2200561,Bùi Thanh Mai,Kỹ thuật Công nghệ,1,Khánh Hòa,19,2.16,3.7,2022-09-22
2200562,Phan Hữu Quân,Luật,1,Khánh Hòa,23,,7.9,2022-09-12
2200563,Đặng Minh Sơn,Luật,4,Đà Nẵng,15,1.87,6.4,2022-09-11
2200564,Bùi Gia Trang,Luật,1,Bình Dương,20,1.56,,2022-09-11
2200565,Phan Minh Bình,Kinh tế,4,Hà Nội,19,3.14,3.4,2022-09-17
2200566,Phạm Thị Yến,Luật,4,TP. Hồ Chí Minh,22,2.99,8.5,2022-09-10
2200567,Huỳnh Thị Hùng,Du lịch,1,Bình Dương,24,1.92,8.0,2022-09-17
2200568,Nguyễn Văn Mai,Kinh tế,3,Hà Nội,14,2.13,8.3,2022-09-14
2200569,Bùi Minh Trang,Kinh tế,2,Cần Thơ,21,2.34,9.9,2022-09-14
2200570,Nguyễn Thị Thảo,Kinh tế,1,Đồng Nai,18,3.04,7.2,2022-09-05
2200571,Vũ Ngọc Nam,Luật,4,TP. Hồ Chí Minh,14,2.45,15.2,2022-09-14
2200572,Lê Hữu Quân,Kinh tế,2,TP. Hồ Chí Minh,14,2.44,11.5,2022-09-12
2200573,Vũ Thanh Oanh,Du lịch,3,Đồng Nai,21,2.86,12.1,2022-09-09
2200574,Phạm Gia Nam,Du lịch,1,Cần Thơ,24,1.89,9.4,2022-09-23
2200575,Lê Quốc Dũng,Ngôn ngữ,1,TP. Hồ Chí Minh,16,2.07,5.4,2022-09-21
2200576,Huỳnh Hữu Yến,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,23,2.03,3.5,2022-09-25
2200577,Trần Quốc Vy,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,13,2.09,8.7,2022-09-05
2200578,Vũ Quốc Nam,Luật,3,Đà Nẵng,12,2.27,8.6,2022-09-09
2200579,Lê Thị Vy,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,21,1.73,6.9,2022-09-12
2200580,Nguyễn Minh Dũng,Kinh tế,4,TP. Hồ Chí Minh,17,2.35,2.9,2022-09-14
2200581,Vũ Thị Dũng,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,15,2.64,5.0,2022-09-23
2200582,Lê Gia Mai,Kinh tế,4,Khánh Hòa,13,3.14,4.9,2022-09-09
2200583,Hoàng Minh Trang,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,18,2.67,9.0,2022-09-21
2200584,Vũ Thanh Phúc,Ngôn ngữ,4,TP. Hồ Chí Minh,14,2.84,15.7,2022-09-20
2200585,Lê Gia An,Kỹ thuật Công nghệ,3,Hà Nội,19,2.36,0.0,2022-09-14
2200586,Lê Quốc Phúc,Kỹ thuật Công nghệ,3,Hà Nội,19,2.21,,2022-09-22
2200587,Trần Văn Sơn,Ngôn ngữ,1,Khánh Hòa,15,1.77,6.3,2022-09-08
2200588,Phạm Minh Yến,Kinh tế,1,Hà Nội,20,1.14,5.2,2022-09-11
2200589,Hoàng Văn Yến,Du lịch,1,Lâm Đồng,13,3.1,10.7,2022-09-12
2200590,Đặng Thị Phúc,Ngôn ngữ,3,TP. Hồ Chí Minh,13,3.39,11.9,2022-09-12
2200591,Phạm Quốc Mai,Ngôn ngữ,3,TP. Hồ Chí Minh,13,2.51,11.7,2022-09-19
2200592,Bùi Hữu Hà,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,19,3.44,9.7,2022-09-14
2200593,Trần Ngọc Dũng,Du lịch,2,Đồng Nai,16,1.44,4.7,2022-09-07
2200594,Huỳnh Gia Hà,Ngôn ngữ,1,Khánh Hòa,19,2.27,2.5,2022-09-19
2200595,Phan Gia Hùng,Kinh tế,1,Hà Nội,19,2.45,13.0,2022-09-24
2200596,Trần Minh Quân,Luật,3,TP. Hồ Chí Minh,21,2.66,11.0,2022-09-10
2200597,Phan Gia Khanh,Kỹ thuật Công nghệ,4,Hà Nội,15,2.39,6.6,2022-09-10
2200598,Hoàng Hữu Sơn,Kinh tế,1,TP. Hồ Chí Minh,19,1.71,18.3,2022-09-24
2200599,Huỳnh Văn Thảo,Kinh tế,2,TP. Hồ Chí Minh,13,2.27,2.6,2022-09-25
2200600,Lê Quốc Khanh,Du lịch,3,TP. Hồ Chí Minh,23,3.23,8.3,2022-09-23
2200601,Đặng Hữu Linh,Kỹ thuật Công nghệ,1,Hà Nội,14,3.27,12.9,2022-09-13
2200602,Phan Thanh Mai,Kinh tế,1,Lâm Đồng,21,2.54,16.5,2022-09-16
2200603,Huỳnh Quốc Nam,Ngôn ngữ,4,Đà Nẵng,18,3.23,17.5,2022-09-21
2200604,Đặng Văn Giang,Kinh tế,1,Hà Nội,18,2.25,8.9,2022-09-12
2200605,Đặng Quốc Phúc,Kỹ thuật Công nghệ,2,Lâm Đồng,17,1.98,11.3,2022-09-15
2200606,Phan Hữu Quân,Kỹ thuật Công nghệ,3,Đồng Nai,19,2.04,1.6,2022-09-14
2200607,Phan Minh Yến,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,23,2.38,10.1,2022-09-13
2200608,Vũ Minh Hùng,Du lịch,3,Hà Nội,22,2.75,10.5,2022-09-21
2200609,Phạm Minh Mai,Kỹ thuật Công nghệ,2,Bình Dương,21,2.24,7.2,2022-09-24
2200610,Nguyễn Minh Yến,Du lịch,1,Bình Dương,20,2.95,8.3,2022-09-05
2200611,Huỳnh Minh Khanh,Kỹ thuật Công nghệ,1,Đồng Nai,12,,4.8,2022-09-14
2200612,Hoàng Quốc Bình,Kinh tế,2,TP. Hồ Chí Minh,12,2.51,11.1,2022-09-08
2200613,Bùi Ngọc Vy,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,14,3.54,9.1,2022-09-12
2200614,Bùi Ngọc Khanh,Ngôn ngữ,1,Đồng Nai,15,2.61,11.9,2022-09-11
2200615,Phan Gia Dũng,Du lịch,1,Khánh Hòa,20,2.45,11.1,2022-09-23
2200616,Phan Thanh Dũng,Kinh tế,2,Cần Thơ,18,2.21,3.8,2022-09-18
2200617,Phan Ngọc Giang,Kinh tế,1,Hà Nội,19,2.62,5.6,2022-09-11
2200618,Nguyễn Văn Chi,Du lịch,4,TP. Hồ Chí Minh,16,2.17,,2022-09-15
2200619,Hoàng Thanh Hà,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,15,3.11,10.5,2022-09-15
2200620,Hoàng Hữu Chi,Kinh tế,4,TP. Hồ Chí Minh,19,2.45,7.5,2022-09-21
2200621,Huỳnh Ngọc Nam,Ngôn ngữ,3,Đồng Nai,14,2.53,7.5,2022-09-23
2200622,Bùi Gia Sơn,Kỹ thuật Công nghệ,4,Đà Nẵng,15,2.3,13.1,2022-09-05
2200623,Đặng Gia Khanh,Luật,2,Cần Thơ,24,2.57,4.4,2022-09-12
2200624,Hoàng Hữu Bình,Luật,2,Cần Thơ,15,1.99,6.1,2022-09-13
2200625,Phạm Minh Nam,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,13,2.2,3.4,2022-09-07
2200626,Nguyễn Quốc Mai,Kỹ thuật Công nghệ,1,Cần Thơ,20,2.73,3.7,2022-09-18
2200627,Trần Quốc Hùng,Ngôn ngữ,4,TP. Hồ Chí Minh,23,2.37,13.9,2022-09-09
2200628,Nguyễn Quốc Chi,Luật,1,Bình Dương,23,2.28,7.0,2022-09-23
2200629,Trần Quốc Bình,Kinh tế,1,Cần Thơ,16,2.12,13.1,2022-09-17
2200630,Trần Quốc An,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,20,2.53,,2022-09-17
2200631,Hoàng Quốc Khanh,Kỹ thuật Công nghệ,1,Cần Thơ,19,1.82,7.9,2022-09-09
2200632,Trần Văn Oanh,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,22,2.42,9.3,2022-09-13
2200633,Phan Thị An,Luật,1,TP. Hồ Chí Minh,21,2.92,6.9,2022-09-16
2200634,Trần Văn Thảo,Kỹ thuật Công nghệ,3,Bình Dương,17,3.03,,2022-09-10
2200635,Hoàng Hữu Chi,Kỹ thuật Công nghệ,1,Khánh Hòa,21,2.2,5.0,2022-09-16
2200636,Bùi Minh Thảo,Kinh tế,1,TP. Hồ Chí Minh,20,2.7,9.6,2022-09-14
2200637,Phan Minh Vy,Kỹ thuật Công nghệ,1,Hà Nội,23,,5.7,2022-09-07
2200638,Phan Thị Phúc,Du lịch,4,Khánh Hòa,14,2.97,5.9,2022-09-24
2200639,Huỳnh Gia Oanh,Kinh tế,3,TP. Hồ Chí Minh,23,2.25,8.1,2022-09-12
2200640,Lê Văn Trang,Ngôn ngữ,3,,24,2.27,11.9,2022-09-06
2200641,Phạm Gia Thảo,Kỹ thuật Công nghệ,1,Lâm Đồng,19,2.1,6.7,2022-09-17
2200642,Hoàng Gia Quân,Ngôn ngữ,1,Cần Thơ,15,3.32,14.4,2022-09-12
2200643,Đặng Gia Trang,Kinh tế,3,TP. Hồ Chí Minh,14,1.73,4.7,2022-09-21
2200644,Hoàng Hữu Hùng,Luật,1,Bình Dương,23,,11.1,2022-09-13
2200645,Bùi Thị Dũng,Luật,2,TP. Hồ Chí Minh,17,2.57,7.3,2022-09-20
2200646,Đặng Quốc Linh,Kinh tế,1,Đà Nẵng,14,3.1,9.5,2022-09-22
2200647,Nguyễn Văn Trang,Kỹ thuật Công nghệ,2,Đà Nẵng,19,1.9,10.3,2022-09-17
2200648,Bùi Văn Phúc,Kỹ thuật Công nghệ,4,Bình Dương,16,2.23,5.1,2022-09-10
2200649,Lê Quốc Giang,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,21,2.96,3.4,2022-09-17
2200650,Huỳnh Thanh Bình,Kinh tế,2,Hà Nội,19,2.75,10.0,2022-09-21
2200651,Bùi Văn Chi,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,23,3.53,7.9,2022-09-21
2200652,Nguyễn Văn Nam,Kinh tế,1,TP. Hồ Chí Minh,23,2.4,14.9,2022-09-11
2200653,Trần Thanh Chi,Kinh tế,1,TP. Hồ Chí Minh,17,,4.4,2022-09-16
2200654,Lê Thị Khanh,Kinh tế,4,Lâm Đồng,23,3.36,9.1,2022-09-11
2200655,Phạm Thanh Yến,Kỹ thuật Công nghệ,4,Đồng Nai,15,2.66,4.9,2022-09-21
2200656,Trần Văn Nam,Kinh tế,2,TP. Hồ Chí Minh,20,2.86,12.1,2022-09-12
2200657,Đặng Ngọc Nam,Du lịch,4,TP. Hồ Chí Minh,20,3.78,8.9,2022-09-15
2200658,Trần Quốc Khanh,Luật,1,TP. Hồ Chí Minh,13,2.41,10.6,2022-09-25
2200659,Trần Ngọc An,Kinh tế,2,TP. Hồ Chí Minh,17,2.19,8.5,2022-09-07
2200660,Bùi Thanh Quân,Kinh tế,4,Cần Thơ,19,2.89,9.3,2022-09-21
2200661,Trần Ngọc Khanh,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,19,2.78,,2022-09-14
2200662,Phan Thanh Chi,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,14,2.61,10.0,2022-09-25
2200663,Huỳnh Gia Giang,Kinh tế,2,Lâm Đồng,21,3.26,12.8,2022-09-05
2200664,Phạm Văn Bình,Ngôn ngữ,1,Đà Nẵng,17,2.47,4.7,2022-09-08
2200665,Hoàng Ngọc Bình,Ngôn ngữ,3,TP. Hồ Chí Minh,24,3.64,,2022-09-19
2200666,Hoàng Văn Phúc,Du lịch,2,Đồng Nai,13,2.14,8.5,2022-09-18
2200667,Đặng Hữu Phúc,Luật,4,Đà Nẵng,13,2.6,9.5,2022-09-24
2200668,Hoàng Minh Mai,Luật,3,Bình Dương,14,1.82,11.3,2022-09-19
2200669,Đặng Hữu Nam,Kỹ thuật Công nghệ,1,Cần Thơ,17,2.02,6.1,2022-09-11
2200670,Nguyễn Minh Phúc,Kỹ thuật Công nghệ,2,Khánh Hòa,20,2.26,3.6,2022-09-22
2200671,Trần Hữu Linh,Kinh tế,1,TP. Hồ Chí Minh,12,2.67,11.2,2022-09-16
2200672,Huỳnh Minh Vy,Du lịch,3,TP. Hồ Chí Minh,18,2.44,11.0,2022-09-23
2200673,Huỳnh Văn Chi,Kinh tế,2,Hà Nội,13,2.67,4.7,2022-09-08
2200674,Lê Văn Hà,Ngôn ngữ,4,Cần Thơ,15,2.87,6.4,2022-09-06
2200675,Hoàng Quốc Khanh,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,20,2.84,10.8,2022-09-09
2200676,Bùi Minh Oanh,Du lịch,3,Khánh Hòa,23,2.04,9.6,2022-09-15
2200677,Huỳnh Minh Phúc,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,24,2.59,6.7,2022-09-18
2200678,Trần Hữu An,Kỹ thuật Công nghệ,2,Đà Nẵng,18,2.92,7.6,2022-09-14
2200679,Bùi Ngọc Tuấn,Du lịch,3,TP. Hồ Chí Minh,12,3.38,14.7,2022-09-11
2200680,Đặng Hữu Sơn,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,20,2.56,9.7,2022-09-17
2200681,Nguyễn Văn Mai,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,15,2.87,6.5,2022-09-06
2200682,Trần Văn Thảo,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,17,3.23,5.8,2022-09-09
2200683,Vũ Thị Giang,Luật,4,Đồng Nai,23,2.17,10.9,2022-09-15
2200684,Nguyễn Gia Oanh,Kỹ thuật Công nghệ,2,Bình Dương,20,2.7,15.8,2022-09-17
2200685,Huỳnh Gia Bình,Ngôn ngữ,2,TP. Hồ Chí Minh,12,2.16,4.7,2022-09-16
2200686,Trần Ngọc Thảo,Kinh tế,3,TP. Hồ Chí Minh,21,2.67,7.9,2022-09-14
2200687,Trần Gia An,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,23,2.91,15.0,2022-09-10
2200688,Bùi Thị Khanh,Kỹ thuật Công nghệ,1,Cần Thơ,17,,13.2,2022-09-22
2200689,Bùi Minh Yến,Kinh tế,3,Đồng Nai,12,3.2,1.6,2022-09-05
2200690,Lê Quốc Hà,Kinh tế,1,TP. Hồ Chí Minh,24,2.8,6.7,2022-09-09
2200691,Lê Gia Sơn,Kỹ thuật Công nghệ,2,Cần Thơ,23,3.07,12.8,2022-09-10
2200692,Phạm Minh Bình,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,,11.5,2022-09-18
2200693,Vũ Hữu Hùng,Ngôn ngữ,1,Đồng Nai,18,2.09,8.7,2022-09-25
2200694,Phan Hữu Bình,Kinh tế,1,Hà Nội,22,2.95,,2022-09-21
2200695,Phạm Văn Vy,Du lịch,4,TP. Hồ Chí Minh,22,3.2,15.0,2022-09-12
2200696,Vũ Hữu Khanh,Kinh tế,1,TP. Hồ Chí Minh,19,2.72,9.4,2022-09-11
2200697,Phạm Thị Quân,Kỹ thuật Công nghệ,1,Bình Dương,16,2.58,10.6,2022-09-06
2200698,Lê Văn Phúc,Ngôn ngữ,2,Lâm Đồng,12,2.23,6.9,2022-09-22
2200699,Huỳnh Thị Dũng,Kinh tế,1,TP. Hồ Chí Minh,24,1.51,5.9,2022-09-25
2200700,Lê Quốc Khanh,Kinh tế,1,Bình Dương,15,2.17,7.6,2022-09-08
2200701,Lê Gia Mai,Kỹ thuật Công nghệ,4,Đà Nẵng,23,3.09,6.0,2022-09-20
2200702,Bùi Minh Phúc,Kinh tế,3,TP. Hồ Chí Minh,15,3.59,9.1,2022-09-21
2200703,Phạm Quốc Bình,Kinh tế,1,Hà Nội,19,3.09,7.3,2022-09-06
2200704,Phạm Hữu Linh,Ngôn ngữ,4,TP. Hồ Chí Minh,16,1.78,12.5,2022-09-16
2200705,Trần Minh Quân,Luật,3,TP. Hồ Chí Minh,24,2.12,6.9,2022-09-25
2200706,Huỳnh Thị Oanh,Kinh tế,2,Đồng Nai,19,3.01,2.6,2022-09-22
2200707,Trần Thanh Quân,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,19,3.11,9.9,2022-09-08
2200708,Nguyễn Thị Yến,Du lịch,3,Bình Dương,14,1.96,10.7,2022-09-10
2200709,Hoàng Thanh Phúc,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,15,2.17,7.7,2022-09-18
2200710,Phạm Gia Trang,Kinh tế,2,Cần Thơ,14,2.96,9.9,2022-09-19
2200711,Phạm Ngọc Sơn,Ngôn ngữ,3,Đồng Nai,18,3.35,5.9,2022-09-08
2200712,Vũ Minh Hà,Ngôn ngữ,2,TP. Hồ Chí Minh,23,3.02,9.9,2022-09-19
2200713,Huỳnh Văn Mai,Kỹ thuật Công nghệ,3,Bình Dương,16,2.32,8.4,2022-09-12
2200714,Đặng Ngọc Linh,Kỹ thuật Công nghệ,2,Đồng Nai,20,2.68,5.4,2022-09-13
2200715,Phạm Minh Oanh,Kinh tế,3,Đà Nẵng,19,2.26,3.8,2022-09-19
2200716,Phạm Văn Mai,Kinh tế,2,TP. Hồ Chí Minh,24,2.08,3.5,2022-09-15
2200717,Lê Minh Tuấn,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,22,2.35,10.7,2022-09-10
2200718,Đặng Minh Oanh,Kinh tế,1,Hà Nội,14,2.3,,2022-09-05
2200719,Bùi Thị Chi,Ngôn ngữ,2,TP. Hồ Chí Minh,12,2.27,7.0,2022-09-18
2200720,Nguyễn Thị Khanh,Kinh tế,3,TP. Hồ Chí Minh,13,2.19,6.7,2022-09-11
2200721,Huỳnh Văn Yến,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,24,2.27,5.1,2022-09-07
2200722,Bùi Thị Sơn,Kỹ thuật Công nghệ,1,Bình Dương,23,2.15,5.7,2022-09-06
2200723,Đặng Ngọc Khanh,Du lịch,1,TP. Hồ Chí Minh,19,,4.9,2022-09-11
2200724,Phan Quốc Bình,Du lịch,1,TP. Hồ Chí Minh,22,2.67,7.6,2022-09-23
2200725,Trần Hữu Giang,Ngôn ngữ,4,TP. Hồ Chí Minh,22,2.89,11.0,2022-09-22
2200726,Hoàng Thanh Giang,Luật,3,Khánh Hòa,14,3.16,8.7,2022-09-08
2200727,Lê Gia Linh,Luật,3,TP. Hồ Chí Minh,21,1.81,,2022-09-17
2200728,Phạm Văn Quân,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,19,3.15,11.8,2022-09-09
2200729,Phan Ngọc Yến,Kỹ thuật Công nghệ,3,Hà Nội,19,3.37,15.3,2022-09-24
2200730,Bùi Gia Hà,Kinh tế,3,Khánh Hòa,12,3.25,16.1,2022-09-19
2200731,Nguyễn Ngọc Bình,Du lịch,4,TP. Hồ Chí Minh,24,2.95,12.5,2022-09-24
2200732,Lê Thị Yến,Du lịch,2,TP. Hồ Chí Minh,17,3.49,10.1,2022-09-24
2200733,Nguyễn Ngọc Vy,Du lịch,4,TP. Hồ Chí Minh,17,2.72,9.0,2022-09-13
2200734,Đặng Gia Thảo,Kinh tế,3,Bình Dương,21,2.61,10.1,2022-09-25
2200735,Bùi Gia Chi,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,19,3.13,6.6,2022-09-21
2200736,Nguyễn Ngọc Quân,Kinh tế,2,Đồng Nai,15,2.17,11.9,2022-09-14
2200737,Nguyễn Gia Vy,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,24,1.95,4.5,2022-09-14
2200738,Phan Hữu Khanh,Ngôn ngữ,2,Đà Nẵng,16,3.19,13.4,2022-09-23
2200739,Trần Thị Vy,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,18,,4.3,2022-09-06
2200740,Bùi Ngọc Mai,Kỹ thuật Công nghệ,2,Hà Nội,20,1.86,3.2,2022-09-10
2200741,Trần Thanh Oanh,Luật,2,TP. Hồ Chí Minh,18,2.76,8.8,2022-09-25
2200742,Đặng Gia Khanh,Luật,1,TP. Hồ Chí Minh,14,,2.4,2022-09-16
2200743,Phan Ngọc Dũng,Kinh tế,2,Cần Thơ,16,1.93,3.7,2022-09-19
2200744,Phạm Thị Dũng,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,18,3.35,9.4,2022-09-25
2200745,Huỳnh Gia Sơn,Kỹ thuật Công nghệ,2,Đà Nẵng,18,3.14,13.2,2022-09-14
2200746,Bùi Gia Bình,Luật,2,TP. Hồ Chí Minh,23,2.89,4.6,2022-09-06
2200747,Phan Ngọc An,Du lịch,2,Bình Dương,24,2.47,12.4,2022-09-17
2200748,Đặng Văn Chi,Du lịch,1,Bình Dương,24,1.73,5.8,2022-09-25
2200749,Lê Quốc Dũng,Du lịch,4,Cần Thơ,23,3.77,9.4,2022-09-11
2200750,Lê Gia Chi,Ngôn ngữ,4,Khánh Hòa,20,2.34,4.2,2022-09-21
2200751,Hoàng Gia An,Luật,2,Đà Nẵng,18,3.69,11.1,2022-09-22
2200752,Nguyễn Ngọc Yến,Ngôn ngữ,3,TP. Hồ Chí Minh,17,2.81,8.9,2022-09-08
2200753,Trần Văn Phúc,Du lịch,4,TP. Hồ Chí Minh,19,3.46,8.2,2022-09-06
2200754,Vũ Minh Thảo,Kỹ thuật Công nghệ,4,Đà Nẵng,23,1.47,7.8,2022-09-14
2200755,Lê Gia Sơn,Kinh tế,3,TP. Hồ Chí Minh,12,3.09,13.0,2022-09-06
2200756,Phạm Ngọc Nam,Kỹ thuật Công nghệ,1,Cần Thơ,14,2.71,16.2,2022-09-12
2200757,Trần Gia Khanh,Luật,2,Bình Dương,12,2.57,10.2,2022-09-05
2200758,Lê Thanh Thảo,Kinh tế,1,Khánh Hòa,21,2.36,13.3,2022-09-11
2200759,Vũ Minh Thảo,Kỹ thuật Công nghệ,3,Bình Dương,15,2.81,4.8,2022-09-23
2200760,Phan Gia Sơn,Kinh tế,1,TP. Hồ Chí Minh,18,3.16,14.9,2022-09-22
2200761,Bùi Thanh Vy,Ngôn ngữ,1,Cần Thơ,24,2.33,8.8,2022-09-19
2200762,Phan Văn Dũng,Kinh tế,1,TP. Hồ Chí Minh,13,1.81,,2022-09-08
